,Title,Date,Fragments,,,,Lab/Ops,Principles,,,,
358,"Alex. Van Suchten Of the secrets of antimony in two treatises. Translated out of high-Dutch by Dr. C. a person of great skill in chymistry. To which is added B. Valentine's salt of antimony, with its use.",1670-01-01,it with so much yellow sulphur put it into a melting,,,,1,,,,,
363,"Alex. Van Suchten Of the secrets of antimony in two treatises. Translated out of high-Dutch by Dr. C. a person of great skill in chymistry. To which is added B. Valentine's salt of antimony, with its use.",1670-01-01,antimony is not in his mercury but in his fire of,,,,1,,,,,
364,"A choice collection of rare secrets and experiments in philosophy as also rare and unheard-of medicines, menstruums and alkahests : with the true secret of volatilizing the fixt salt of tartar / collected and experimented by the honourable and truly learned Sir Kenelm Digby, Kt., Chancellour to Her Majesty the Queen-Mother ; hitherto kept secret since his decease, but now published for the good and benefit of the publick by George Hartman.",1682-01-01,soap only with a little salt of tartar not much lest,,,,1,,,,,
365,"A choice collection of rare secrets and experiments in philosophy as also rare and unheard-of medicines, menstruums and alkahests : with the true secret of volatilizing the fixt salt of tartar / collected and experimented by the honourable and truly learned Sir Kenelm Digby, Kt., Chancellour to Her Majesty the Queen-Mother ; hitherto kept secret since his decease, but now published for the good and benefit of the publick by George Hartman.",1682-01-01,with seven parts of prepared salt put it in a cucurbite,,,,1,,,,,
366,"A choice collection of rare secrets and experiments in philosophy as also rare and unheard-of medicines, menstruums and alkahests : with the true secret of volatilizing the fixt salt of tartar / collected and experimented by the honourable and truly learned Sir Kenelm Digby, Kt., Chancellour to Her Majesty the Queen-Mother ; hitherto kept secret since his decease, but now published for the good and benefit of the publick by George Hartman.",1682-01-01,among which cometh the volatile salt change the recipient putting on,,,,1,,,,,
367,"A choice collection of rare secrets and experiments in philosophy as also rare and unheard-of medicines, menstruums and alkahests : with the true secret of volatilizing the fixt salt of tartar / collected and experimented by the honourable and truly learned Sir Kenelm Digby, Kt., Chancellour to Her Majesty the Queen-Mother ; hitherto kept secret since his decease, but now published for the good and benefit of the publick by George Hartman.",1682-01-01,double as much flowers of sulphur grind them well together put,,,,1,,,,,
368,"A choice collection of rare secrets and experiments in philosophy as also rare and unheard-of medicines, menstruums and alkahests : with the true secret of volatilizing the fixt salt of tartar / collected and experimented by the honourable and truly learned Sir Kenelm Digby, Kt., Chancellour to Her Majesty the Queen-Mother ; hitherto kept secret since his decease, but now published for the good and benefit of the publick by George Hartman.",1682-01-01,some little addition of dry salt from the spirit of wine,,,,1,,,,,
369,"A choice collection of rare secrets and experiments in philosophy as also rare and unheard-of medicines, menstruums and alkahests : with the true secret of volatilizing the fixt salt of tartar / collected and experimented by the honourable and truly learned Sir Kenelm Digby, Kt., Chancellour to Her Majesty the Queen-Mother ; hitherto kept secret since his decease, but now published for the good and benefit of the publick by George Hartman.",1682-01-01,of urine till the volatile salt be drawn out of it,,,,1,,,,,
370,"A choice collection of rare secrets and experiments in philosophy as also rare and unheard-of medicines, menstruums and alkahests : with the true secret of volatilizing the fixt salt of tartar / collected and experimented by the honourable and truly learned Sir Kenelm Digby, Kt., Chancellour to Her Majesty the Queen-Mother ; hitherto kept secret since his decease, but now published for the good and benefit of the publick by George Hartman.",1682-01-01,you shall have a sulphurious salt take of this salt and,,,,1,,,,,
376,"Fleta minor the laws of art and nature, in knowing, judging, assaying, fining, refining and inlarging the bodies of confin'd metals : in two parts : the first contains assays of Lazarus Erckern, chief prover, or assay-master general of the empire of Germany, in V. books, orinally written by him in the Teutonick language and now translated into English ; the second contains essays on metallick words, as a dictionary to many pleasing discourses, by Sir John Pettus ... ; illustrated with 44 sculptures.",1683-01-01,melting vessels in which the salt petre improves  the,,,,1,,,,,
377,"Fleta minor the laws of art and nature, in knowing, judging, assaying, fining, refining and inlarging the bodies of confin'd metals : in two parts : the first contains assays of Lazarus Erckern, chief prover, or assay-master general of the empire of Germany, in V. books, orinally written by him in the Teutonick language and now translated into English ; the second contains essays on metallick words, as a dictionary to many pleasing discourses, by Sir John Pettus ... ; illustrated with 44 sculptures.",1683-01-01,square finger high of common salt press it down a little,,,,1,,,,,
378,"Hydrologia chymica, or, The chymical anatomy of the Scarbrough, and other spaws in York-Shire wherein are interspersed some animadversions upon Dr. Wittie's lately published treatise of the Scarbrough-spaw : also a short description of the spaws at Malton and Knarsbrough : and a discourse concerning the original of hot springs and other fountains : with the causes and cures of most of the stubbornest diseases ... : also a vindication of chymical physick ... : lastly is subjoyned an appendix of the original of springs ... / by W. Simpson.",1669-01-01,vestments  for all mineral salts whether nitre allom vitriol or,,,,1,,,,,
379,"Hydrologia chymica, or, The chymical anatomy of the Scarbrough, and other spaws in York-Shire wherein are interspersed some animadversions upon Dr. Wittie's lately published treatise of the Scarbrough-spaw : also a short description of the spaws at Malton and Knarsbrough : and a discourse concerning the original of hot springs and other fountains : with the causes and cures of most of the stubbornest diseases ... : also a vindication of chymical physick ... : lastly is subjoyned an appendix of the original of springs ... / by W. Simpson.",1669-01-01,or salt besides the volatile salt which ariseth by distillation,,,,1,,,,,
380,"Hydrologia chymica, or, The chymical anatomy of the Scarbrough, and other spaws in York-Shire wherein are interspersed some animadversions upon Dr. Wittie's lately published treatise of the Scarbrough-spaw : also a short description of the spaws at Malton and Knarsbrough : and a discourse concerning the original of hot springs and other fountains : with the causes and cures of most of the stubbornest diseases ... : also a vindication of chymical physick ... : lastly is subjoyned an appendix of the original of springs ... / by W. Simpson.",1669-01-01,quid from both the foresaid salts which it will make to,,,,1,,,,,
383,"Hydrologia chymica, or, The chymical anatomy of the Scarbrough, and other spaws in York-Shire wherein are interspersed some animadversions upon Dr. Wittie's lately published treatise of the Scarbrough-spaw : also a short description of the spaws at Malton and Knarsbrough : and a discourse concerning the original of hot springs and other fountains : with the causes and cures of most of the stubbornest diseases ... : also a vindication of chymical physick ... : lastly is subjoyned an appendix of the original of springs ... / by W. Simpson.",1669-01-01,exalted by letting go its sulphur then it degenerates into vinegar,,,,1,,,,,
384,"Hydrologia chymica, or, The chymical anatomy of the Scarbrough, and other spaws in York-Shire wherein are interspersed some animadversions upon Dr. Wittie's lately published treatise of the Scarbrough-spaw : also a short description of the spaws at Malton and Knarsbrough : and a discourse concerning the original of hot springs and other fountains : with the causes and cures of most of the stubbornest diseases ... : also a vindication of chymical physick ... : lastly is subjoyned an appendix of the original of springs ... / by W. Simpson.",1669-01-01,again totally separable and yet salts by the very odour of,,,,1,,,,,
404,"A vindication of chymistry, and chymical medicines Courteous and candid reader, chymistry, is an art that doth both teach and inable us (for our exceeding good and benefit) to seperate purity from impurity; ...",1676-01-01,they use chymical oyls and salts of herbs seeds berries spices,,,,1,,,,,
405,"A vindication of chymistry, and chymical medicines Courteous and candid reader, chymistry, is an art that doth both teach and inable us (for our exceeding good and benefit) to seperate purity from impurity; ...",1676-01-01,a sublimate or to coagulate sulphureons spirits and by a convenient,,,,1,,,,,
408,"Fundamenta chymica: or, A sure guide into the high and rare mysteries of alchymie; L.C. Philmedico Chymicus.",1658-01-01,the fixation of the internal sulphur and more prompt dissolution for,,,,1,,,,,
416,"Enchyridion physicæ restitutæ, or, The summary of physicks recovered wherein the true harmony of nature is explained, and many errours of the ancient philosophers, by canons and certain demonstrations, are clearly evidenced and evinced.",1651-01-01,water well diluted and mixt sulphur is generated of the most,,,,1,,,,,
422,"The difference betwene the auncient phisicke, first taught by the godly forefathers, consisting in vnitie peace and concord: and the latter phisicke proceeding from idolaters, ethnickes, and heathen: as Gallen, and such other consisting in dualitie, discorde, and contrarietie And wherein the naturall philosophie of Aristotle doth differ from the trueth of Gods worde, and is iniurious to Christianitie and sounde doctrine. By R.B. Esquire.",1585-01-01,to begin to seperate the salt sulphur and mercury from hearbes,,,,1,,,,,
427,"A course of chemistry containing an easie method of preparing those chymical medicins which are used in physick : with curious remarks and useful discourses upon each preparation, for the benefit of such who desire to be instructed in the knowledge of this art / by Nicholas Lemery, M.D.",1686-01-01,corrosive mercury is mixed with salt and vitriol which are acids,,,,1,,,,,
428,"A course of chemistry containing an easie method of preparing those chymical medicins which are used in physick : with curious remarks and useful discourses upon each preparation, for the benefit of such who desire to be instructed in the knowledge of this art / by Nicholas Lemery, M.D.",1686-01-01,a mixture of mercury and sulphur that sublime together by the,,,,,1,,,,
429,"A course of chemistry containing an easie method of preparing those chymical medicins which are used in physick : with curious remarks and useful discourses upon each preparation, for the benefit of such who desire to be instructed in the knowledge of this art / by Nicholas Lemery, M.D.",1686-01-01,to the pores of the salts that they will find an,,,,1,,,,,
430,"A course of chemistry containing an easie method of preparing those chymical medicins which are used in physick : with curious remarks and useful discourses upon each preparation, for the benefit of such who desire to be instructed in the knowledge of this art / by Nicholas Lemery, M.D.",1686-01-01,wax from the phlegm and salt melt two pounds of yellow,,,,1,,,,,
431,"A course of chemistry containing an easie method of preparing those chymical medicins which are used in physick : with curious remarks and useful discourses upon each preparation, for the benefit of such who desire to be instructed in the knowledge of this art / by Nicholas Lemery, M.D.",1686-01-01,to encounter in the alkali salt then there follows a coagulum,,,,1,,,,,
432,"A course of chemistry containing an easie method of preparing those chymical medicins which are used in physick : with curious remarks and useful discourses upon each preparation, for the benefit of such who desire to be instructed in the knowledge of this art / by Nicholas Lemery, M.D.",1686-01-01,you may obtain an alkali salt from the ashes by a,,,,1,,,,,
433,"A course of chemistry containing an easie method of preparing those chymical medicins which are used in physick : with curious remarks and useful discourses upon each preparation, for the benefit of such who desire to be instructed in the knowledge of this art / by Nicholas Lemery, M.D.",1686-01-01,of salt would hinder the mercury from precipitating the volatile spirit,,,,1,,,,,
434,"Experiments, notes, &c. about the mechanical origine or production of divers particular qualities among which is inferred a discourse of the imperfection of the chymist's doctrine of qualities : together with some reflections upon the hypothesis of alcali and acidum / by the Honourable Robert Boyle ...",1676-01-01,dissolving gold without any gross salt in the mixture of aqua,,,,1,,,,,
435,"Experiments, notes, &c. about the mechanical origine or production of divers particular qualities among which is inferred a discourse of the imperfection of the chymist's doctrine of qualities : together with some reflections upon the hypothesis of alcali and acidum / by the Honourable Robert Boyle ...",1676-01-01,and whereas both spirit of salt and silver dissolv d in,,,,1,,,,,
436,"Experiments, notes, &c. about the mechanical origine or production of divers particular qualities among which is inferred a discourse of the imperfection of the chymist's doctrine of qualities : together with some reflections upon the hypothesis of alcali and acidum / by the Honourable Robert Boyle ...",1676-01-01,from the participation of the sulphureous ingredient especially since if such,,,,1,,,,,
437,"Experiments, notes, &c. about the mechanical origine or production of divers particular qualities among which is inferred a discourse of the imperfection of the chymist's doctrine of qualities : together with some reflections upon the hypothesis of alcali and acidum / by the Honourable Robert Boyle ...",1676-01-01,the salt adhering to the mercury corroded in good quantity by,,,,1,,,,,
438,"Experiments, notes, &c. about the mechanical origine or production of divers particular qualities among which is inferred a discourse of the imperfection of the chymist's doctrine of qualities : together with some reflections upon the hypothesis of alcali and acidum / by the Honourable Robert Boyle ...",1676-01-01,per se for there running mercury being put into a conveniently,,,,1,,,,,
439,"Experiments, notes, &c. about the mechanical origine or production of divers particular qualities among which is inferred a discourse of the imperfection of the chymist's doctrine of qualities : together with some reflections upon the hypothesis of alcali and acidum / by the Honourable Robert Boyle ...",1676-01-01,compounded of salt sulphur and mercury for it may suffice me,,,,1,,,,,
440,"Experiments, notes, &c. about the mechanical origine or production of divers particular qualities among which is inferred a discourse of the imperfection of the chymist's doctrine of qualities : together with some reflections upon the hypothesis of alcali and acidum / by the Honourable Robert Boyle ...",1676-01-01,dissolves gold readily will dissolve mercury but scurvily and silver not,,,,1,,,,,
442,"Panzooryktologia. Sive Panzoologicomineralogia. Or A compleat history of animals and minerals, containing the summe of all authors, both ancient and modern, Galenicall and chymicall, touching animals, viz. beasts, birds, fishes, serpents, insects, and man, as to their place, meat, name, temperature, vertues, use in meat and medicine, description, kinds, generation, sympathie, antipathie, diseases, cures, hurts, and remedies &c. With the anatomy of man, his diseases, with their definitions, causes, signes, cures, remedies: and use of the London dispensatory, with the doses and formes of all kinds of remedies: as also a history of minerals, viz. earths, mettals, semimettals, their naturall and artificiall excrements, salts, sulphurs, and stones, with their place, matter, names, kinds, temperature, vertues, use, choice, dose, danger, and antidotes. Also an [brace] introduction to zoography and mineralogy. Index of Latine names, with their English names. Universall index of the use and vertues. / By Robert Lovell. St. C.C. Oxon. philotheologiatronomos.",1661-01-01,if bilious shunning things sharp salt and bitter if in the,,,,1,,,,,
443,"Panzooryktologia. Sive Panzoologicomineralogia. Or A compleat history of animals and minerals, containing the summe of all authors, both ancient and modern, Galenicall and chymicall, touching animals, viz. beasts, birds, fishes, serpents, insects, and man, as to their place, meat, name, temperature, vertues, use in meat and medicine, description, kinds, generation, sympathie, antipathie, diseases, cures, hurts, and remedies &c. With the anatomy of man, his diseases, with their definitions, causes, signes, cures, remedies: and use of the London dispensatory, with the doses and formes of all kinds of remedies: as also a history of minerals, viz. earths, mettals, semimettals, their naturall and artificiall excrements, salts, sulphurs, and stones, with their place, matter, names, kinds, temperature, vertues, use, choice, dose, danger, and antidotes. Also an [brace] introduction to zoography and mineralogy. Index of Latine names, with their English names. Universall index of the use and vertues. / By Robert Lovell. St. C.C. Oxon. philotheologiatronomos.",1661-01-01,antimony mercury allume ammoniack common salt nitre vitriol brimsto jacinth pearl,,,,1,,,,,
444,"Panzooryktologia. Sive Panzoologicomineralogia. Or A compleat history of animals and minerals, containing the summe of all authors, both ancient and modern, Galenicall and chymicall, touching animals, viz. beasts, birds, fishes, serpents, insects, and man, as to their place, meat, name, temperature, vertues, use in meat and medicine, description, kinds, generation, sympathie, antipathie, diseases, cures, hurts, and remedies &c. With the anatomy of man, his diseases, with their definitions, causes, signes, cures, remedies: and use of the London dispensatory, with the doses and formes of all kinds of remedies: as also a history of minerals, viz. earths, mettals, semimettals, their naturall and artificiall excrements, salts, sulphurs, and stones, with their place, matter, names, kinds, temperature, vertues, use, choice, dose, danger, and antidotes. Also an [brace] introduction to zoography and mineralogy. Index of Latine names, with their English names. Universall index of the use and vertues. / By Robert Lovell. St. C.C. Oxon. philotheologiatronomos.",1661-01-01,vomitories mastick astringents galingal theriack salts oile of wormwood outwardly sinapismes,,,,1,,,,,
445,"Panzooryktologia. Sive Panzoologicomineralogia. Or A compleat history of animals and minerals, containing the summe of all authors, both ancient and modern, Galenicall and chymicall, touching animals, viz. beasts, birds, fishes, serpents, insects, and man, as to their place, meat, name, temperature, vertues, use in meat and medicine, description, kinds, generation, sympathie, antipathie, diseases, cures, hurts, and remedies &c. With the anatomy of man, his diseases, with their definitions, causes, signes, cures, remedies: and use of the London dispensatory, with the doses and formes of all kinds of remedies: as also a history of minerals, viz. earths, mettals, semimettals, their naturall and artificiall excrements, salts, sulphurs, and stones, with their place, matter, names, kinds, temperature, vertues, use, choice, dose, danger, and antidotes. Also an [brace] introduction to zoography and mineralogy. Index of Latine names, with their English names. Universall index of the use and vertues. / By Robert Lovell. St. C.C. Oxon. philotheologiatronomos.",1661-01-01,sow pigeon copper gold antimony mercury common salt nitre vitriol bezoarstone,,,,1,,,,,
446,"Panzooryktologia. Sive Panzoologicomineralogia. Or A compleat history of animals and minerals, containing the summe of all authors, both ancient and modern, Galenicall and chymicall, touching animals, viz. beasts, birds, fishes, serpents, insects, and man, as to their place, meat, name, temperature, vertues, use in meat and medicine, description, kinds, generation, sympathie, antipathie, diseases, cures, hurts, and remedies &c. With the anatomy of man, his diseases, with their definitions, causes, signes, cures, remedies: and use of the London dispensatory, with the doses and formes of all kinds of remedies: as also a history of minerals, viz. earths, mettals, semimettals, their naturall and artificiall excrements, salts, sulphurs, and stones, with their place, matter, names, kinds, temperature, vertues, use, choice, dose, danger, and antidotes. Also an [brace] introduction to zoography and mineralogy. Index of Latine names, with their English names. Universall index of the use and vertues. / By Robert Lovell. St. C.C. Oxon. philotheologiatronomos.",1661-01-01,reines m of a tartareous salt terrene and feculent matter n,,,,1,,,,,
447,"Panzooryktologia. Sive Panzoologicomineralogia. Or A compleat history of animals and minerals, containing the summe of all authors, both ancient and modern, Galenicall and chymicall, touching animals, viz. beasts, birds, fishes, serpents, insects, and man, as to their place, meat, name, temperature, vertues, use in meat and medicine, description, kinds, generation, sympathie, antipathie, diseases, cures, hurts, and remedies &c. With the anatomy of man, his diseases, with their definitions, causes, signes, cures, remedies: and use of the London dispensatory, with the doses and formes of all kinds of remedies: as also a history of minerals, viz. earths, mettals, semimettals, their naturall and artificiall excrements, salts, sulphurs, and stones, with their place, matter, names, kinds, temperature, vertues, use, choice, dose, danger, and antidotes. Also an [brace] introduction to zoography and mineralogy. Index of Latine names, with their English names. Universall index of the use and vertues. / By Robert Lovell. St. C.C. Oxon. philotheologiatronomos.",1661-01-01,and bladder things too sharp salt pepered acute sweet cold actually,,,,1,,,,,
448,"The arraignment of vrines vvherein are set downe the manifold errors and abuses of ignorant vrine-mongring empirickes, cozening quacksaluers, women-physitians, and the like stuffe ... Collected and gathered as well out of the most ancient, as the moderne and late physitians of our time: and written first in the Latine tongue, and diuided into three bookes by Peter Forrest D. in Physicke ... And for the benefit of our British nations newly epitomized, and translated into our English tongue by Iames Hart Dr. of the foresaid faculty, and residing in the towne of Northampton.",1623-01-01,easie method by heurnius and argenterius hath also attempted the same,,,,1,,,,,
449,"The arraignment of vrines vvherein are set downe the manifold errors and abuses of ignorant vrine-mongring empirickes, cozening quacksaluers, women-physitians, and the like stuffe ... Collected and gathered as well out of the most ancient, as the moderne and late physitians of our time: and written first in the Latine tongue, and diuided into three bookes by Peter Forrest D. in Physicke ... And for the benefit of our British nations newly epitomized, and translated into our English tongue by Iames Hart Dr. of the foresaid faculty, and residing in the towne of Northampton.",1623-01-01,nose by such mercuriall and sulphureous smels i thinke it is,,,,1,,,,,
450,"The arraignment of vrines vvherein are set downe the manifold errors and abuses of ignorant vrine-mongring empirickes, cozening quacksaluers, women-physitians, and the like stuffe ... Collected and gathered as well out of the most ancient, as the moderne and late physitians of our time: and written first in the Latine tongue, and diuided into three bookes by Peter Forrest D. in Physicke ... And for the benefit of our British nations newly epitomized, and translated into our English tongue by Iames Hart Dr. of the foresaid faculty, and residing in the towne of Northampton.",1623-01-01,originall from this sulphureous and salt matter as any that proceed,,,,1,,,,,
455,"Pharmacopœia Bateana, or, Bate's dispensatory translated from the second edition of the Latin copy, published by Mr. James Shipton : containing his choice and select recipe's, their names, compositions, preparations, vertues, uses, and doses, as they are applicable to the whole practice of physick and chyrurgery : the Arcana Goddardiana, and their recipe's intersperst in their proper places, which are almost all wanting in the Latin copy : compleated with above five hundred chymical processes, and their explications at large, various observations thereon, and a rationale upon each process : to which are added in this English edition, Goddard's drops, Russel's pouder [sic], and the Emplastrum febrifugum, those so much fam'd in the world : as also several other preparations from the Collectanea chymica, and other good authors / by William Salmon ...",1694-01-01,cv hepar sulphuris liver of sulphur bate it is made of,,,,1,,,,,
456,"Pharmacopœia Bateana, or, Bate's dispensatory translated from the second edition of the Latin copy, published by Mr. James Shipton : containing his choice and select recipe's, their names, compositions, preparations, vertues, uses, and doses, as they are applicable to the whole practice of physick and chyrurgery : the Arcana Goddardiana, and their recipe's intersperst in their proper places, which are almost all wanting in the Latin copy : compleated with above five hundred chymical processes, and their explications at large, various observations thereon, and a rationale upon each process : to which are added in this English edition, Goddard's drops, Russel's pouder [sic], and the Emplastrum febrifugum, those so much fam'd in the world : as also several other preparations from the Collectanea chymica, and other good authors / by William Salmon ...",1694-01-01,yet being joyned to the salts in the sublimate they would,,,,1,,,,,
457,"Pharmacopœia Bateana, or, Bate's dispensatory translated from the second edition of the Latin copy, published by Mr. James Shipton : containing his choice and select recipe's, their names, compositions, preparations, vertues, uses, and doses, as they are applicable to the whole practice of physick and chyrurgery : the Arcana Goddardiana, and their recipe's intersperst in their proper places, which are almost all wanting in the Latin copy : compleated with above five hundred chymical processes, and their explications at large, various observations thereon, and a rationale upon each process : to which are added in this English edition, Goddard's drops, Russel's pouder [sic], and the Emplastrum febrifugum, those so much fam'd in the world : as also several other preparations from the Collectanea chymica, and other good authors / by William Salmon ...",1694-01-01,separate the parts of the salt to the end that the,,,,1,,,,,
458,"Pharmacopœia Bateana, or, Bate's dispensatory translated from the second edition of the Latin copy, published by Mr. James Shipton : containing his choice and select recipe's, their names, compositions, preparations, vertues, uses, and doses, as they are applicable to the whole practice of physick and chyrurgery : the Arcana Goddardiana, and their recipe's intersperst in their proper places, which are almost all wanting in the Latin copy : compleated with above five hundred chymical processes, and their explications at large, various observations thereon, and a rationale upon each process : to which are added in this English edition, Goddard's drops, Russel's pouder [sic], and the Emplastrum febrifugum, those so much fam'd in the world : as also several other preparations from the Collectanea chymica, and other good authors / by William Salmon ...",1694-01-01,not too lightly lest the mercury revive with it not too,,,,1,,,,,
459,"Pharmacopœia Bateana, or, Bate's dispensatory translated from the second edition of the Latin copy, published by Mr. James Shipton : containing his choice and select recipe's, their names, compositions, preparations, vertues, uses, and doses, as they are applicable to the whole practice of physick and chyrurgery : the Arcana Goddardiana, and their recipe's intersperst in their proper places, which are almost all wanting in the Latin copy : compleated with above five hundred chymical processes, and their explications at large, various observations thereon, and a rationale upon each process : to which are added in this English edition, Goddard's drops, Russel's pouder [sic], and the Emplastrum febrifugum, those so much fam'd in the world : as also several other preparations from the Collectanea chymica, and other good authors / by William Salmon ...",1694-01-01,of the volatile sulphur and salt too is lost in which,,,,1,,,,,
460,"Pharmacopœia Bateana, or, Bate's dispensatory translated from the second edition of the Latin copy, published by Mr. James Shipton : containing his choice and select recipe's, their names, compositions, preparations, vertues, uses, and doses, as they are applicable to the whole practice of physick and chyrurgery : the Arcana Goddardiana, and their recipe's intersperst in their proper places, which are almost all wanting in the Latin copy : compleated with above five hundred chymical processes, and their explications at large, various observations thereon, and a rationale upon each process : to which are added in this English edition, Goddard's drops, Russel's pouder [sic], and the Emplastrum febrifugum, those so much fam'd in the world : as also several other preparations from the Collectanea chymica, and other good authors / by William Salmon ...",1694-01-01,for the shin bones bate mercury ij dissolve it in a,,,,1,,,,,
461,"Pharmacopœia Bateana, or, Bate's dispensatory translated from the second edition of the Latin copy, published by Mr. James Shipton : containing his choice and select recipe's, their names, compositions, preparations, vertues, uses, and doses, as they are applicable to the whole practice of physick and chyrurgery : the Arcana Goddardiana, and their recipe's intersperst in their proper places, which are almost all wanting in the Latin copy : compleated with above five hundred chymical processes, and their explications at large, various observations thereon, and a rationale upon each process : to which are added in this English edition, Goddard's drops, Russel's pouder [sic], and the Emplastrum febrifugum, those so much fam'd in the world : as also several other preparations from the Collectanea chymica, and other good authors / by William Salmon ...",1694-01-01,to make it from lac sulphuris for that the body of,,,,1,,,,,
462,"Gregorii Opuscula, or, Notes & observations upon some passages of Scripture with other learned tracts / written by John Gregory ...",1650-01-01,the syriack rendreth it my psalterie clean another instrument of a,,,,1,,,,,
468,"Gregorii Opuscula, or, Notes & observations upon some passages of Scripture with other learned tracts / written by John Gregory ...",1650-01-01,head and powder it with salt and odors then they write,,,,1,,,,,
471,"The chirurgicall lectures of tumors and vlcers Delivered on Tusedayes appointed for these exercises, and keeping of their courts in the Chirurgeans Hall these three yeeres last past, viz. 1632, 1633, and 1634. By Alexander Read Doctor of Physick, and one of the fellowes of the Physitians College of London.",1635-01-01,of vitriol the oyle of sulphur aqua fortis and aqua regis,,,,1,,,,,
472,"The chirurgicall lectures of tumors and vlcers Delivered on Tusedayes appointed for these exercises, and keeping of their courts in the Chirurgeans Hall these three yeeres last past, viz. 1632, 1633, and 1634. By Alexander Read Doctor of Physick, and one of the fellowes of the Physitians College of London.",1635-01-01,by the admistion of thin salt moisture for of bitter things,,,,1,,,,,
473,"The chirurgicall lectures of tumors and vlcers Delivered on Tusedayes appointed for these exercises, and keeping of their courts in the Chirurgeans Hall these three yeeres last past, viz. 1632, 1633, and 1634. By Alexander Read Doctor of Physick, and one of the fellowes of the Physitians College of London.",1635-01-01,the lips proceed from a salt sharp drying humor which causeth,,,,1,,,,,
475,"The chirurgicall lectures of tumors and vlcers Delivered on Tusedayes appointed for these exercises, and keeping of their courts in the Chirurgeans Hall these three yeeres last past, viz. 1632, 1633, and 1634. By Alexander Read Doctor of Physick, and one of the fellowes of the Physitians College of London.",1635-01-01,them to proceed from the salt of the vitriol of the,,,,1,,,,,
484,"The art of glass wherein are shown the wayes to make and colour glass, pastes, enamels, lakes, and other curiosities / written in Italian by Antonio Neri ; and translated into English, with some observations on the author ; whereunto is added an account of the glass drops made by the Royal Society, meeting at Gresham College.",1662-01-01,a grain of wheat this salt thus pounded sifted and dryed,,,,1,,,,,
485,"The art of glass wherein are shown the wayes to make and colour glass, pastes, enamels, lakes, and other curiosities / written in Italian by Antonio Neri ; and translated into English, with some observations on the author ; whereunto is added an account of the glass drops made by the Royal Society, meeting at Gresham College.",1662-01-01,place must be given to salt peter the second to white,,,,1,,,,,
486,"The art of glass wherein are shown the wayes to make and colour glass, pastes, enamels, lakes, and other curiosities / written in Italian by Antonio Neri ; and translated into English, with some observations on the author ; whereunto is added an account of the glass drops made by the Royal Society, meeting at Gresham College.",1662-01-01,me practised to extract the salt perfectly from both of them,,,,1,,,,,
487,"The art of glass wherein are shown the wayes to make and colour glass, pastes, enamels, lakes, and other curiosities / written in Italian by Antonio Neri ; and translated into English, with some observations on the author ; whereunto is added an account of the glass drops made by the Royal Society, meeting at Gresham College.",1662-01-01,glass requires lixivial and fixed salts that have a caustical and,,,,1,,,,,
488,"The art of glass wherein are shown the wayes to make and colour glass, pastes, enamels, lakes, and other curiosities / written in Italian by Antonio Neri ; and translated into English, with some observations on the author ; whereunto is added an account of the glass drops made by the Royal Society, meeting at Gresham College.",1662-01-01,have a pure and perfect salt wherewith a fritt made with,,,,1,,,,,
489,"The art of glass wherein are shown the wayes to make and colour glass, pastes, enamels, lakes, and other curiosities / written in Italian by Antonio Neri ; and translated into English, with some observations on the author ; whereunto is added an account of the glass drops made by the Royal Society, meeting at Gresham College.",1662-01-01,upon the fritt it s salt which worketh this effect when,,,,1,,,,,
494,"A general collection of discourses of the virtuosi of France, upon questions of all sorts of philosophy, and other natural knowledg made in the assembly of the Beaux Esprits at Paris, by the most ingenious persons of that nation / render'd into English by G. Havers, Gent.",1664-01-01,the metals are or and argent the colours azure which is,,,,1,,,,,
495,"A general collection of discourses of the virtuosi of France, upon questions of all sorts of philosophy, and other natural knowledg made in the assembly of the Beaux Esprits at Paris, by the most ingenious persons of that nation / render'd into English by G. Havers, Gent.",1664-01-01,where salt as appears by salt peter vitriol alum and other,,,,1,,,,,
496,"A general collection of discourses of the virtuosi of France, upon questions of all sorts of philosophy, and other natural knowledg made in the assembly of the Beaux Esprits at Paris, by the most ingenious persons of that nation / render'd into English by G. Havers, Gent.",1664-01-01,the inventions of writing with salt armoniack alumn camphire and onyon,,,,1,,,,,
497,"Bazilica chymica, & Praxis chymiatricæ, or, Royal and practical chymistry in three treatises : wherein all those excellent medicines and chymical preparations are fully discovered, from whence all our modern chymists have drawn their choicest remedies : being a translation of Oswald Crollius, his Royal chymistry, augmented and inlarged by John Hartman : to which is added his Treatise of signatures of internal things, or, A true and lively anatomy of the greater and lesser world : as also, The practice of chymistry of John Hartman, M.D., augmented and inlarged by his son / all faithfully Englished by a lover of chymistry.",1670-01-01,strong which arises from the mercury and volatile salt by this,,,,1,,,,,
500,"Bazilica chymica, & Praxis chymiatricæ, or, Royal and practical chymistry in three treatises : wherein all those excellent medicines and chymical preparations are fully discovered, from whence all our modern chymists have drawn their choicest remedies : being a translation of Oswald Crollius, his Royal chymistry, augmented and inlarged by John Hartman : to which is added his Treatise of signatures of internal things, or, A true and lively anatomy of the greater and lesser world : as also, The practice of chymistry of John Hartman, M.D., augmented and inlarged by his son / all faithfully Englished by a lover of chymistry.",1670-01-01,is prepared compounded spirit of salt there is another more elegant,,,,1,,,,,
